Survey,State,6-Digit,County,Census Place,FIPS Place,FIPS MCD,Pop,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,  ,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
201910,09,305000,005,    ,00000 ,40290 ,2979 ,999,99999, , ,06757      ,1,1,10,Kent town,1,1,315000,0,0,0,0,0,0,0,0,0,1,1,315000,0,0,0,0,0,0,0,0,0
201910,09,313000,007,    ,00000 ,40710 ,6525 ,278,25540, , ,06419      ,1,1,10,Killingworth town,5,5,1448617,0,0,0,0,0,0,0,0,0,5,5,1448617,0,0,0,0,0,0,0,0,0
201910,09,317000,011,    ,00000 ,42390 ,7308 ,278,35980, , ,062491506  ,1,1,10,Lebanon town,4,4,1074227,0,0,0,0,0,0,0,0,0,4,4,1074227,0,0,0,0,0,0,0,0,0
201910,09,337000,011,    ,00000 ,44210 ,2406 ,278,35980, , ,06371      ,1,1,10,Lyme town,1,1,262409,0,0,0,0,0,0,0,0,0,1,1,262409,0,0,0,0,0,0,0,0,0
201910,09,345000,003,    ,00000 ,44700 ,58241 ,278,25540, , ,06040      ,1,1,9,Manchester town,24,24,2693406,2,4,242000,0,0,0,0,0,0,22,22,2406352,2,4,242000,0,0,0,0,0,0
201910,09,349000,013,    ,00000 ,44910 ,26543 ,278,25540, , ,06268      ,1,1,9,Mansfield town,4,4,1718515,0,0,0,0,0,0,0,0,0,3,3,1346785,0,0,0,0,0,0,0,0,0
201910,09,353000,003,    ,00000 ,45820 ,6404 ,278,25540, , ,06447      ,1,1,10,Marlborough town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201910,09,365000,007,    ,00000 ,47080 ,4425 ,278,25540, , ,06455      ,1,1,8,Middlefield town,4,4,917667,0,0,0,0,0,0,0,0,0,3,3,620000,0,0,0,0,0,0,0,0,0
201910,09,369000,007,0520,47290 ,47360 ,47648 ,278,25540,2,1,06457      ,1,1,1,Middletown,15,15,2705957,0,0,0,0,0,0,0,0,0,2,2,315975,0,0,0,0,0,0,0,0,0
201910,09,377000,009,    ,00000 ,47535 ,52759 ,408,35300,2,1,06460      ,1,1,1,Milford town,23,23,3818906,0,0,0,0,0,0,14,134,8799620,1,1,195000,0,0,0,0,0,0,1,24,2031300
201910,09,381000,001,    ,00000 ,48620 ,19479 ,408,14860, , ,06468      ,1,1,10,Monroe town,9,9,2879824,0,0,0,0,0,0,0,0,0,9,9,2879824,0,0,0,0,0,0,0,0,0
201910,09,397000,003,0580,50370 ,50440 ,73206 ,278,25540,2, ,06051      ,1,1,10,New Britain,6,6,954800,0,0,0,1,4,371400,1,5,546960,6,6,954800,0,0,0,1,4,371400,1,5,546960
201910,09,401000,001,    ,00000 ,50580 ,19738 ,408,14860, , ,06840      ,1,1,10,New Canaan town,7,7,5737530,1,2,790000,0,0,0,0,0,0,7,7,5737530,1,2,790000,0,0,0,0,0,0
201910,09,405000,001,    ,00000 ,50860 ,13881 ,408,14860, , ,06812      ,1,1,1,New Fairfield town,6,6,2501776,0,0,0,0,0,0,0,0,0,2,2,694477,0,0,0,0,0,0,0,0,0
201910,09,413000,009,0600,52000 ,52070 ,129779 ,408,35300,2,1,06510      ,1,1,10,New Haven,4,4,210000,26,52,4980606,7,22,2279458,3,199,21814230,4,4,210000,26,52,4980606,7,22,2279458,3,199,21814230
201910,09,417000,011,0620,52280 ,52350 ,27620 ,278,35980,2,1,06320      ,1,1,0,New London,30,30,4965150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201910,09,425000,003,    ,00000 ,52140 ,30562 ,278,25540, , ,06111      ,1,1,9,Newington town,2,2,354000,0,0,0,0,0,0,0,0,0,2,2,354000,0,0,0,0,0,0,0,0,0
201910,09,433000,001,    ,00000 ,52980 ,25619 ,408,14860,2, ,06470      ,1,1,10,Newtown town,22,22,5600481,0,0,0,0,0,0,1,30,1892090,22,22,5600481,0,0,0,0,0,0,1,30,1892090
201910,09,457000,001,0720,55990 ,56060 ,85603 ,408,14860,2,1,068565125  ,1,1,10,Norwalk,17,17,14277700,0,0,0,0,0,0,5,176,48607967,17,17,14277700,0,0,0,0,0,0,5,176,48607967
201910,09,461000,011,0730,56200 ,56270 ,40493 ,278,35980,2,1,06360      ,1,1,10,Norwich,3,3,787227,3,6,600000,0,0,0,0,0,0,3,3,787227,3,6,600000,0,0,0,0,0,0
201910,09,473000,007,    ,00000 ,57320 ,10199 ,278,25540, , ,06475      ,1,1,9,Old Saybrook town,8,8,1913444,0,0,0,2,6,410000,0,0,0,7,7,1712230,0,0,0,2,6,410000,0,0,0
201910,09,481000,009,    ,00000 ,58300 ,12683 ,408,35300, , ,06478      ,1,1,10,Oxford town,31,31,4983900,0,0,0,0,0,0,0,0,0,31,31,4983900,0,0,0,0,0,0,0,0,0
201910,09,489000,003,    ,00000 ,60120 ,17716 ,278,25540, , ,06062      ,1,1,0,Plainville town,10,10,1899120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201910,09,501000,007,    ,00000 ,61800 ,9508 ,278,25540, , ,06480      ,1,1,10,Portland town,3,3,1183167,0,0,0,0,0,0,0,0,0,3,3,1183167,0,0,0,0,0,0,0,0,0
201910,09,505000,011,    ,00000 ,62150 ,4726 ,278,35980, , ,06360      ,1,1,10,Preston town,10,10,2780992,0,0,0,0,0,0,0,0,0,10,10,2780992,0,0,0,0,0,0,0,0,0
201910,09,509000,009,    ,00000 ,62290 ,9405 ,408,35300, , ,06712      ,1,1,10,Prospect town,28,28,4016000,0,0,0,0,0,0,0,0,0,28,28,4016000,0,0,0,0,0,0,0,0,0
201910,09,517000,001,    ,00000 ,63480 ,9158 ,408,14860, , ,06875      ,1,1,10,Redding town,2,2,1175000,0,0,0,0,0,0,0,0,0,2,2,1175000,0,0,0,0,0,0,0,0,0
201910,09,521000,001,    ,00000 ,63970 ,24638 ,408,14860, , ,06877      ,1,1,9,Ridgefield town,7,7,4830393,0,0,0,0,0,0,1,30,5390204,6,6,3330600,0,0,0,0,0,0,1,30,5390204
201910,09,525000,003,    ,00000 ,65370 ,19709 ,278,25540, , ,06067      ,1,1,10,Rocky Hill town,8,8,2197000,0,0,0,0,0,0,0,0,0,8,8,2197000,0,0,0,0,0,0,0,0,0
201910,09,553000,001,0890,68100 ,68170 ,39559 ,408,14860,2, ,06484      ,1,1,10,Shelton,37,37,6910685,1,2,403540,0,0,0,2,61,3085680,37,37,6910685,1,2,403540,0,0,0,2,61,3085680
201910,09,557000,001,    ,00000 ,68310 ,3581 ,408,14860, , ,06784      ,1,1,10,Sherman town,2,2,2452400,0,0,0,0,0,0,0,0,0,2,2,2452400,0,0,0,0,0,0,0,0,0
201910,09,561000,003,    ,00000 ,68940 ,23511 ,278,25540, , ,06070      ,1,1,9,Simsbury town,53,53,7172029,0,0,0,1,4,560000,1,10,1024571,47,47,6257011,0,0,0,1,4,560000,0,0,0
201910,09,565000,013,    ,00000 ,69220 ,11444 ,278,25540, , ,060712119  ,1,1,10,Somers town,12,12,2092000,0,0,0,0,0,0,0,0,0,12,12,2092000,0,0,0,0,0,0,0,0,0
