Survey,State,6-Digit,County,Census Place,FIPS Place,FIPS MCD,Pop,CSA,CBSA,Footnote,Central,Zip,Region,Division,Source,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units
Date,Code,ID,Code,Code,Code,Code,  ,Code,Code,Code,City,Code,Code,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
201706,09,349000,013,    ,00000 ,44910 ,26543 ,278,25540, , ,06268      ,1,1,1,Mansfield town,2,2,664730,0,0,0,0,0,0,0,0,0
201706,09,353000,003,    ,00000 ,45820 ,6404 ,278,25540, , ,06447      ,1,1,1,Marlborough town,0,0,0,0,0,0,0,0,0,0,0,0
201706,09,365000,007,    ,00000 ,47080 ,4425 ,278,25540, , ,06455      ,1,1,3,Middlefield town,0,0,0,0,0,0,0,0,0,0,0,0
201706,09,369000,007,0520,47290 ,47360 ,47648 ,278,25540,2,1,06457      ,1,1,1,Middletown,1,1,139000,0,0,0,0,0,0,0,0,0
201706,09,377000,009,    ,00000 ,47535 ,52759 ,408,35300,2,1,06460      ,1,1,5,Milford town,3,3,494169,0,0,0,0,0,0,1,11,676832
201706,09,381000,001,    ,00000 ,48620 ,19479 ,408,14860, , ,06468      ,1,1,1,Monroe town,1,1,330435,0,0,0,0,0,0,0,0,0
201706,09,397000,003,0580,50370 ,50440 ,73206 ,278,25540,2, ,06051      ,1,1,1,New Britain,2,2,493575,0,0,0,0,0,0,0,0,0
201706,09,401000,001,    ,00000 ,50580 ,19738 ,408,14860, , ,06840      ,1,1,3,New Canaan town,3,3,2790000,0,0,0,0,0,0,0,0,0
201706,09,405000,001,    ,00000 ,50860 ,13881 ,408,14860, , ,06812      ,1,1,1,New Fairfield town,0,0,0,0,0,0,0,0,0,0,0,0
201706,09,413000,009,0600,52000 ,52070 ,129779 ,408,35300,2,1,06510      ,1,1,3,New Haven,0,0,0,0,0,0,0,0,0,1,14,5396334
201706,09,417000,011,0620,52280 ,52350 ,27620 ,278,35980,2,1,06320      ,1,1,5,New London,4,4,662020,0,0,0,0,0,0,0,0,0
201706,09,425000,003,    ,00000 ,52140 ,30562 ,278,25540, , ,06111      ,1,1,1,Newington town,2,2,395165,0,0,0,0,0,0,0,0,0
201706,09,433000,001,    ,00000 ,52980 ,25619 ,408,14860,2, ,06470      ,1,1,4,Newtown town,5,5,1339188,0,0,0,0,0,0,0,0,0
201706,09,457000,001,0720,55990 ,56060 ,85603 ,408,14860,2,1,068565125  ,1,1,1,Norwalk,3,3,1600000,0,0,0,2,6,700000,0,0,0
201706,09,461000,011,0730,56200 ,56270 ,40493 ,278,35980,2,1,06360      ,1,1,4,Norwich,0,0,0,0,0,0,0,0,0,0,0,0
201706,09,473000,007,    ,00000 ,57320 ,10199 ,278,25540, , ,06475      ,1,1,1,Old Saybrook town,2,2,550000,0,0,0,0,0,0,0,0,0
